state,product,market_price,unit,currency
Gujarat,Bottle Gourd,600.0,quintal,INR
Gujarat,Brinjal,300.0,quintal,INR
Gujarat,Carrot,1550.0,quintal,INR
Gujarat,Cauliflower,450.0,quintal,INR
Gujarat,Green Chilli,2750.0,quintal,INR
Gujarat,Lemon,2000.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4225.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1075.0,quintal,INR
Gujarat,Castor Seed,3875.0,quintal,INR
Gujarat,Jowar(Sorghum),2525.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",6475.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3475.0,quintal,INR
Haryana,Carrot,800.0,quintal,INR
